#
# Sunnyvale Tactical Call List
# updated/revised: 23-Apr-2012 by B Gundrum
#
ARC101	ARC Shelter 01 - SCC		Somewhere within Santa Clara County
ARC102	ARC Shelter 02 - SCC
ARC103	ARC Shelter 03 - SCC
ARC104	ARC Shelter 04 - SCC
ARC105 	ARC Shelter 05 - SCC
ARC106 	ARC Shelter 06 - SCC
ARC107 	ARC Shelter 07 - SCC
ARC108 	ARC Shelter 08 - SCC
ARC109	ARC Shelter 09 - SCC
ARC110	ARC Shelter 10 - SCC
ARC199	San Jose HQ Remote Test Packet Station


#Gilroy Tactical Call List
#
#Prepared by Dana Timbrook AEC; reviewed by Pat Moore EC 4/6/14
#
#	Community shelters will be assigned locations as address information becomes available.
#
#Public safety
#
GILFSC	GILROY FIRE STATION CHESTNUT
GILFSA	GILROY FIRE STATION LAS ANIMAS
GILFSS	GILROY FIRE STATION SUNRISE
GILFSM	GILROY FIRE STATION MESA
#
#Schools
#
GILHSG	GILROY HIGH SCHOOL GILROY
GILHSC	GILROY HIGH SCHOOL CHRISTOPHER
#
GILMSS	GILROY MIDDLE SCHOOL ASCENCION SOLORSANO
GILMSB	GILROY MIDDLE SCHOOL BROWNELL
GILMSV	GILROY MIDDLE SCHOOL SOUTH VALLEY
#
GILESB	GILROY ELEMENTARY SCHOOL ANTONIO DEL BUONO
GILESR	GILROY ELEMENTARY SCHOOL EL ROBLE
GILESE	GILROY ELEMENTARY SCHOOL ELIOT
GILESG	GILROY ELEMENTARY SCHOOL GLEN VIEW
GILESL	GILROY ELEMENTARY SCHOOL LAS ANIMAS
GILESA	GILROY ELEMENTARY SCHOOL LUIGI APREA
GILESK	GILROY ELEMENTARY SCHOOL ROD KELLEY
GILESS	GILROY ELEMENTARY SCHOOL RUCKER
#
GILCCG	GILROY COMMUNITY COLLEGE GAVILAN
#
#Shelters
#
GILCS1	GILROY COMMUNITY SHELTER 1
GILCS2	GILROY COMMUNITY SHELTER 2
GILCS3	GILROY COMMUNITY SHELTER 3
GILCS4	GILROY COMMUNITY SHELTER 4
GILCS5	GILROY COMMUNITY SHELTER 5
GILCS6	GILROY COMMUNITY SHELTER 6
GILCS7	GILROY COMMUNITY SHELTER 7
GILCS8	GILROY COMMUNITY SHELTER 8
#
#Medical (in addition to St Louise Hospital HOSSLH)
#
GILMCV	GILROY MEDICAL CLINIC VALLEY HEALTH CENTER
GILMCK	GILROY MEDICAL CLINIC KAISER
# 
#Mobile Units
#
GILMU1	GILROY MOBILE UNIT 1
GILMU2	GILROY MOBILE UNIT 2
GILMU3	GILROY MOBILE UNIT 3
#
#
# Cal-Fire VIPs Tactical Call List (Morgan Hill Cal-Fire Hqs).
# Created:	20-Feb-2011 by Bob Gundrum
#
# SCU (Santa Clara Unit - Cal-Fire Morgan Hill)
SCUCIC	SCU VIP Communications Information Center
SCUVAN	SCU VIP Communications Van 1629
#
# Other Locations
SCUV01	SCU VIP #1
SCUV02	SCU VIP #2
SCUV03	SCU VIP #3
SCUV04	SCU VIP #4
SCUV05	SCU VIP #5
#
# City of Santa Clara Tactical Call List 1.2
# Created: 17-Jan-2011 by Bill Rainey, K6WAR
# Revision: pending approval
#
# Fire Department Stations
#
SNCF01	Santa Clara Fire Station 1	
SNCF02	Santa Clara Fire Station 2	
SNCF03	Santa Clara Fire Station 3	
SNCF04	Santa Clara Fire Station 4	
SNCF05	Santa Clara Fire Station 5	
SNCF06	Santa Clara Fire Station 6	
SNCF07	Santa Clara Fire Station 7	
SNCF08	Santa Clara Fire Station 8	
SNCF09	Santa Clara Fire Station 9	
SNCF10	Santa Clara Fire Station 10	
#
# Emergency Shelters 
#
SNCCRC	Santa Clara Community Recreation Center
SNCYAC	Santa Clara Youth Activity Center
SNCSNR	Santa Clara Senior Center
#
# SCCo Hospitals Packet Tactical Call Signs
# Revised: 13-Jan-2015 by Michael Fox, N6MEF
#
HOSDOC	SCCo Hospitals DEOC
#
HOSECL	El Camino Hospital Los Gatos
HOSECM	El Camino Hospital Mountain View
HOSGSH	Good Samaritan Hospital (San Jose)
HOSKSJ	Kaiser Permanente San Jose Medical Center 
HOSKSC	Kaiser Permanente Santa Clara Medical Center
HOSLPC	Lucile Packard Children's Hospital (Palo Alto)
HOSOCH	O'Connor Hospital (San Jose)
HOSPAV	Palo Alto Veterans Hospital
HOSRSJ	Regional Medical Center San Jose
HOSSLH	Saint Louise Regional Hospital (Gilroy)
HOSVMC	Santa Clara Valley Medical Center (San Jose)
HOSSUH	Stanford University Medical Center (Palo Alto)
HOSSOM	Stanford University School Of Medicine (Palo Alto)
#
# HOS001 - HOS010 are also available for ad hoc needs
#
# 
# Milpitas Packet Tactical Call List 
# Revised: 25-July-2016 by Tim Howard
# 
#  MLPEOC   	Milpitas Emergency Operations Center
#  XSCLMI  	Milpitas Public Library 
#
MLPFS1		Milpitas Fire Station 1 
MLPFS2		Milpitas Fire Station 2 
MLPFS3		Milpitas Fire Station 3
MLPFS4		Milpitas Fire Station 4
MLPOCV		Milpitas OES Communications Van
MLPPCV		Milpitas Police Command Van
MLPFCV		Milpitas Fire Incident Command Van
MLPSH1		Milpitas Shelter 1 (Sports Center)
MLPSH2		Milpitas Shelter 2 (High School)
MLPMCH		Milpitas City Hall
MLPMSC		Milpitas Senior Center
MLPMCC		Milpitas Community Center
MLPUSD		Milpitas Unified School District Office
# 	CERT TEAMS
MLPSF1		SAFE Team 1
MLPSF2		SAFE Team 2
MLPSF3		SAFE Team 3
MLPSF4		SAFE Team 4
MLPSF5		SAFE Team 5
MLPSF6		SAFE Team 6
MLPSF7		SAFE Team 7
MLPSF8		SAFE Team 8

#
# SCCo ARES-RACES Emergency Packet Network
# Packet Tactical Call Signs
# Towns of Los Gatos & Monte Sereno
#
# Rev 0 - by Matthew Hudes - nn/nn/2015 original list of locations needing to be staffed by LG/MS ARES-RACES 
# Rev 1 - by Peter Hertan  - 08/18/2016 expanded list from Rev 0
# Rev 2 - by Peter Hertan  - 08/19/2016 
# Rev 3 - by Peter Hertan  - 08/20/2016 
# Rev 4 - by Peter Hertan  - 08/21/2016 added LGTNTT (The Terraces NICP)
# Rev 5 - by Peter Hertan  - 08/21/2016 removed use of # within CPOD Tac Calls
# Rev 6 - by Peter Hertan  - 08/22/2016 removed use of lower case "n" within CPOD Tac Calls
# Rev 7 - by Peter Hertan  - 08/22/2016 replaced LGTHEC with LGT9EH, and LGTFxx with LFT9xx
# Rev 8 - by Peter Hertan  - 08/26/2016 non-LGT prefixed Tac Calls are now #commented
# ...
# Rev N - by Patrick Dirks - 09/01/2016 tbd
#
# Emergency Management
LGTEOC	LG/MS Emergency Operations Center @ POB - 15900 LGB
LGTECA	LG/MS Alternate Emergency Operations Center @ LG Adult Rec Center - 208 E. Main St
#
# Public Safety
LGTPHQ	LG/MS Police HQ @ 110 E. Main St
#
# 911 Access
LGT9EH	El Camino Hospital Los Gatos @ 815 Pollard Rd (911 Access in the Hospital parking lot)
LGT9SF	Shannon Rd County Fire Station - 911 Access @ 16565 Shannon Rd, Los Gatos
LGT9UF	University Ave County Fire Station - 911 Access @ 306 University Ave, Los Gatos
LGT9RF	Redwood Estates County Fire Station - 911 Access @ 21452 Madrone Dr, Redwood Estates
LGT9WF	Winchester Blvd County Fire Station - 911 Access @ 14850 Winchester Blvd, Los Gatos
#
# Hospitals
# HOSECL  El Camino Hospital Los Gatos (within the Hospital for medical operations on HospitalNet) @ 815 Pollard Rd
#
# Fire Stations (County Fire)
# XSCF82  SCCo Fire Station 82 - Shannon (County Fire radio) @ 16565 Shannon Rd, Los Gatos
# XSCF83  SCCo Fire Station 83 - Los Gatos (County Fire radio) @ 306 University Ave, Los Gatos
# XSCF84  SCCo Fire Station 84 - Redwood (County Fire radio) @ 21452 Madrone Dr, Redwood Estates
# XSCF85  SCCo Fire Station 85 - Winchester (County Fire radio) @ 14850 Winchester Blvd, Los Gatos
#
# Red Cross Operated Shelters (LG/MS ARES-RACES communicators)
LGTXHS	Red Cross Shelter @ LG High School - 20 High School Ct
LGTXJC  Red Cross Shelter @ JCC - 14855 Oka Rd
LGTXLD	Red Cross Shelter @ LDS Church - 15985 Rose Ave
#
# LG K-8 Schools (do not have Red Cross Shelters)
LGTSED	LG Union School District HQ @ 17010 Roberts Rd (has own Public Safety Radio gear)
LGTSVM	Van Meter School @ 16445 Los Gatos Blvd
LGTSBH	Blossom Hill School @ 16400 Blossom Hill Rd
LGTSFM	Fisher Middle School @ 19195 Fisher Ave
LGTSHA	Hillbrook Ave School @ 300 Marchmont Dr
LGTSLX	Lexington Elementary School @ 19700 Santa Cruz Hwy
#
# Existing CERT Neighborhood Incident Command Posts
LGTNBW	Belwood NICP @ the North edge of the Belwood Cabana Club - 100 Belwood Gateway
LGTNNS	North Santa Cruz NICP @ the NE corner of the Daves Ave School - 17770 Daves Ave
LGTNKN	Kennedy North NICP @ the SE corner of the Shannon FS - 16565 Shannon Rd
LGTNTT	The Terraces NICP @ 800 Blossom Hill Rd
LGTNRC	Rinconada NICP @ Buzz Johnson's yard on Old Adobe Rd - tba
LGTNVM	Vista Del Monte NICP @ xxx yard on LG Blvd & Stacia St - tba
LGTNLA	LG Almaden NICP @ Mission Oaks Hospital - 15891 Los Gatos Almaden Rd
LGTNCC	Civic Center NICP @ St. Marys School - 219 Bean Ave
#
# Future CERT Neighborhood Incident Command Posts
LGTNVS	Vasona NICP (nr Netflix) @ tbd
LGTNDT	Downtown/Almond Grove NICP @ tbd 	
LGTNBH	Blossom Hill/Shannon NICP @ tbd
LGTNKE	Kennedy East NICP @ tbd
LGTNMS	Monte Sereno East NICP @ tbd
LGTNSR	Santa Rosa/Hicks NICP @ tbd
#
# Religious Affilitated Institutions
LGTRCB	Calvary Baptist Church @ 16330 Los Gatos Blvd
LGTRSH	Congregation Shir Hadash @ 20 Cherry Blossom Ln
LGTRSM	St Mary's Church @ 219 Bean Ave
LGTRLS	LDS Church @ 15985 Rose Ave
#
# County Health Dept Community Points of Distribution
LGTDN1	CPOD #1 @ JCC - 14855 Oka Rd
LGTDN2	CPOD #2 @ Calvary Baptist Church - 16330 Los Gatos Blvd
LGTDN3	CPOD #3 @ (location, if exists) - tbd
LGTDN4	CPOD #4 @ (location, if exists) - tbd
#
# Other Town Locations
LGTTYD	Town Yard @ 41 Miles Ave
#
# Ad Hoc calls (LGT0nn reserved for Ad Hoc use)
LGT001
LGT002
LGT003
LGT004
LGT005
LGT006
LGT007
LGT008
LGT009
LGT010
#
#
#   Tactical calls for Los Altos Packet
#   3 May 2016 Jim Clark
#
LOSEOC	Los Altos	EOC
LOSPD1	Los Altos 	Police Station
LOSRC1	Los Altos	Red Cross COOP @ Los Altos Christian School
